"規制番号","座標","警察署名","交差点名称","制御種別","制御機形式","警交仕規","メーカー補足","製造会社名","製造番号","製造年月","道路別","設置場所"
"10001","34.39332,132.47501","広島南","的場","地域/直接","交通信号制御機(UD-TTR)","第1012号「版4」","KS-17L","コイト電工株式会社","8B0736","2018年2月","県道３７号（広島三次）","広島市南区的場町1丁目7番1号先"
"10002","34.39379,132.463512","広島中央","八丁堀","地域/直接","ＵＣ形交通信号制御機(S9-TCU)","第２３２号","Ⅹ３","パナソニック株式会社","0A0592","2010年1月","県道１６４号（広島海田）","広島市中区八丁堀15番南東角先"
"10003","34.393454,132.464817","広島中央","流川通北口","地域/直接","Ｕ形交通信号制御機(UD-RTR)","第２３１号","Ⅹ３","パナソニック株式会社","0A0309","2010年1月","県道１６４号（広島海田）","広島市中区幟町13番南西角先"
"10004","34.392555,132.471751","広島南","稲荷町","地域/直接","Ｕ形交通信号制御機(UD-TTR)","第２３１号","VT-3401","ﾊﾟﾅｿﾆｯｸSSｲﾝﾌﾗｼｽﾃﾑ株式会社","1B0491","2011年3月","県道１６４号（広島海田）","広島市南区稲荷町4番1号先"
"10005","34.393133,132.467685","広島中央","弥生通北口","地域/直接","ＵＣ形交通信号制御機(S9-TCU)","第２３２号","Ⅹ３","パナソニック株式会社","0A0594","2010年1月","県道１６４号（広島海田）","広島市中区橋本町10番南西角先"
"10006","34.388204,132.461823","広島中央","三川町","地域/直接","Ｕ形交通信号制御機(UD-TTR)","第２３１号","Ⅹ３","パナソニック株式会社","0A0307","2010年1月","市道","広島市中区三川町9番12号南西方50メートル先"
"10007","34.394295,132.477684","広島南","荒神","地域/直接","Ｕ形交通信号制御機(U)","第２３１号","VT-3401","ﾊﾟﾅｿﾆｯｸSSｲﾝﾌﾗｼｽﾃﾑ株式会社","1B0486","2011年3月","県道１６４号（広島海田）","広島市南区荒神町3番南西角先"
"10008","34.389378,132.486873","広島南","大州１丁目","地域/直接","交通信号制御機(UD-RTR)","第1012号","LTC-AR71","株式会社京三製作所","T39642","2018年12月","県道１６４号（広島海田）","広島市南区大州1丁目8番北西角先"
"10009","34.396355,132.474779","広島南","広島駅前","地域/直接","交通信号制御機(UD-TTR)","第1012号「版4」","","コイト電工株式会社","8J2516","2018年9月","県道３７号（広島三次）","広島市南区松原町9番1号東角先"
"10010","34.385259,132.461002","広島中央","保健所前","地域/直接","ＵＣ形交通信号制御機(UD-TTR)","第２３２号","S2：TSC-2350","住友電気工業株式会社","100578","2011年1月","市道","広島市中区富士見町11番27号先"
"10011","34.382904,132.46837","広島南","比治山橋東詰","地域/直接","交通信号制御機(S9-TCU)","第1012号","LTC-AR70","株式会社京三製作所","T27003","2018年12月","県道３７号（広島三次）","広島市南区比治山本町16番1号先"
"10012","34.387289,132.494008","広島南","大州４丁目","地域/直接","交通信号制御機(UD-RTR)","第1012号","LTC-AR71","株式会社京三製作所","T39611","2018年12月","県道１６４号（広島海田）","広島市南区大州4丁目9番南西角先"
"10013","34.391299,132.476043","広島南","大正橋","地域/直接","交通信号制御機(UD-TTR)","第1012号","LTC-AR71","株式会社京三製作所","T38472","2018年12月","県道３７号（広島三次）","広島市南区的場町2丁目6番10号先"
"10014","34.384341,132.461341","広島中央","竹屋町１番","地域/直接","交通信号制御機(UD-TTR)","第1012号","LTC-AR70","株式会社京三製作所","T26999","2018年12月","市道","広島市中区竹屋町1番北西角先"
"10015","34.387382,132.464962","広島中央","田中町","地域/直接","Ｕ形交通信号制御機(UD-TTR)","第２３１号","S2：TSC-2350","住友電気工業株式会社","100580","2011年1月","市道","広島市中区田中町5番7号南西方50メートル先"
"10016","34.390706,132.471137","広島南","松川町","地域/直接","Ｕ形交通信号制御機(UD-TTR)","第２３１号","VT-3401","ﾊﾟﾅｿﾆｯｸSSｲﾝﾌﾗｼｽﾃﾑ株式会社","1B0495","2011年3月","市道","広島市南区松川町3番29号先"
"10017","34.404502,132.465465","広島中央","白島","地域/直接","交通信号制御機(UD-RTR)","第1012号","","日本信号株式会社","K0000002","2022年9月","県道３７号（広島三次）","広島市中区東白島町19番1号先"
"10018","34.397834,132.464756","広島中央","女学院前","地域/直接","ＵＣ形交通信号制御機(U)","第２３２号","VT-3405","ﾊﾟﾅｿﾆｯｸSSｲﾝﾌﾗｼｽﾃﾑ株式会社","1A0750","2011年1月","市道","広島市中区上幟町12番南西角先"
"10019","34.384564,132.484227","広島南","比治山小学校前","地域/連動","交通信号制御機(ﾌﾟﾛ多)","第1012号","","コイト電工株式会社","1J1550","2011年9月","市道","広島市南区上東雲町30番北西角先"
"10020","34.40523,132.462558","広島中央","白島小学校北","地域/直接","交通信号制御機(S9-TCU)","第1012号","","日本信号株式会社","K0000001","2018年10月","県道８４号（東海田広島）","広島市中区東白島町19番71号先"
"10021","34.383898,132.465488","広島中央","昭和町（東）","地域/直接","交通信号制御機(S9-TCU)","第1012号","","日本信号株式会社","K0000001","2012年12月","市道","広島市中区昭和町2番北西角先"
"10022","34.388281,132.466622","広島中央","東平塚町","地域/直接","ＵＣ形交通信号制御機(UD-TTR)","第２３２号","S2：TSC-2350","住友電気工業株式会社","100581","2011年1月","市道","広島市中区東平塚町4番北東角先"
"10023","34.398069,132.463703","広島中央","上八丁堀","地域/直接","ＵＣ形交通信号制御機(UD-TTR)","第２３２号","VT-3405","ﾊﾟﾅｿﾆｯｸSSｲﾝﾌﾗｼｽﾃﾑ株式会社","1A0746","2011年1月","市道","広島市中区上八丁堀8番南西角先"
"10024","34.392914,132.463249","広島中央","胡町通り","地域/直接","Ｕ形交通信号制御機(S9-TCU)","第２３１号","Ⅹ３","パナソニック株式会社","0A0310","2010年1月","市道","広島市中区胡町5番南西角先"
"10025","34.392298,132.463062","広島中央","堀川町","地域/直接","Ｕ形交通信号制御機(UD-RTR)","第２３１号","Ⅹ３","パナソニック株式会社","0A0306","2010年1月","市道","広島市中区堀川町4番南西角先"
"10026","34.391317,132.462766","広島中央","新天地","地域/直接","ＵＣ形交通信号制御機(S9-TCU)","第２３２号","Ⅹ３","パナソニック株式会社","0A0585","2010年1月","市道","広島市中区新天地1番15号先"
"10027","34.395841,132.475722","広島南","広島駅前（東）","地域/直接","交通信号制御機(UD-TTR)","第1012号「版6」","LTC-AR81","株式会社京三製作所","T93360","2025年2月","県道３７号（広島三次）","広島市南区松原町5番1号北東角先"
"10028","34.397097,132.473418","広島南","広島駅前（西）","地域/直接","Ｕ形交通信号制御機(UD-TTR)","第２３１号","VT-3401","ﾊﾟﾅｿﾆｯｸSSｲﾝﾌﾗｼｽﾃﾑ株式会社","0B0489","2011年3月","県道３７号（広島三次）","広島市南区松原町9番北西角先"
